Price,Close,MA_50,MA_200,Daily_Return,Volatility
Ticker,AAPL,,,,
Date,,,,,
2019-01-02,37.46920394897461,,,,
2019-01-03,33.73699951171875,,,-0.09960725192716557,
2019-01-04,35.17719650268555,,,0.04268894720369354,
2019-01-07,35.098899841308594,,,-0.002225778889769603,
2019-01-08,35.76799011230469,,,0.01906299838516956,
2019-01-09,36.37540054321289,,,0.016981955905295498,
2019-01-10,36.49165344238281,,,0.0031959207990526206,
2019-01-11,36.133384704589844,,,-0.009817826927427276,
2019-01-14,35.59006118774414,,,-0.015036607317240547,
2019-01-15,36.31846237182617,,,0.020466421235961985,
2019-01-16,36.76214599609375,,,0.012216476009506483,
2019-01-17,36.980430603027344,,,0.0059377547479624315,
2019-01-18,37.208213806152344,,,0.006159560594904301,
2019-01-22,36.37302780151367,,,-0.02244628051724895,
2019-01-23,36.5201530456543,,,0.004044899559736415,
2019-01-24,36.23066711425781,,,-0.007926744749251036,
2019-01-25,37.43125534057617,,,0.03313734805191859,
2019-01-28,37.084835052490234,,,-0.009254840238029916,
2019-01-29,36.700462341308594,,,-0.010364687092111802,
2019-01-30,39.2083740234375,,,0.06833460730836904,
2019-01-31,39.49071502685547,,,0.007201038310060914,
2019-02-01,39.50969314575195,,,0.0004805716706719476,
2019-02-04,40.63197326660156,,,0.028405184436879782,
2019-02-05,41.32716369628906,,,0.017109442977974343,
2019-02-06,41.34140396118164,,,0.00034457397069953544,
2019-02-07,40.55841827392578,,,-0.018939504037914667,
2019-02-08,40.60607147216797,,,0.001174927432335826,
2019-02-11,40.37256622314453,,,-0.005750500862499952,
2019-02-12,40.720462799072266,,,0.008617152895480151,
2019-02-13,40.551265716552734,,,-0.004155087415248726,
2019-02-14,40.699005126953125,,,0.0036432749456716262,42.99753844707337
2019-02-15,40.608455657958984,,,-0.0022248570625176267,30.11225987888226
2019-02-19,40.729984283447266,,,0.002992692618303483,28.081018313165956
2019-02-20,40.992088317871094,,,0.006435161688249202,27.998211011868335
2019-02-21,40.76096725463867,,,-0.00563818709210917,27.860650759331968
2019-02-22,41.216087341308594,,,0.011165586032998887,27.68485476735465
2019-02-25,41.516326904296875,,,0.007284523649758734,27.695827078783115
2019-02-26,41.5401496887207,,,0.000573817247338404,27.392631505461107
2019-02-27,41.6688232421875,,,0.003097570770230984,26.748156265703944
2019-02-28,41.258975982666016,,,-0.009835825147721855,26.707145863083504
2019-03-01,41.692665100097656,,,0.010511388300423308,26.668291999565263
2019-03-04,41.90234375,,,0.005029149597391758,26.66485318607429
2019-03-05,41.82609558105469,,,-0.0018196635825487029,26.71691062099043
2019-03-06,41.58543014526367,,,-0.005753954139100292,25.697450598203364
2019-03-07,41.10408020019531,,,-0.011574966121233765,26.121884882508372
2019-03-08,41.20178985595703,,,0.0023771278979076715,25.880034145428617
2019-03-11,42.62910461425781,,,0.034642057136127447,26.02837196612479
2019-03-12,43.108062744140625,,,0.011235472436421201,25.76562987842328
2019-03-13,43.29869842529297,,,0.004422274373214741,25.34473272730322
2019-03-14,43.780025482177734,39.33775421142578,,0.011116432465406278,17.145935262371786
2019-03-15,44.34952926635742,39.47536071777344,,0.01300830179762058,17.3294589648288
2019-03-18,44.80227279663086,39.69666618347168,,0.010208530682576544,17.390324149718943
2019-03-19,44.44721984863281,39.88206665039063,,-0.007924886971911516,16.149969959436067
2019-03-20,44.83563232421875,40.07680130004883,,0.008738734996445174,15.69228551659236
2019-03-21,46.48694610595703,40.29118041992187,,0.03683038904854019,18.512458840315308
2019-03-22,45.52427673339844,40.47415794372559,,-0.020708380592788234,18.708841103707062
2019-03-25,44.97384262084961,40.64380172729492,,-0.012091001813654412,19.265030297872826
2019-03-26,44.5091667175293,40.81131736755371,,-0.01033213699878277,19.50015145396006
2019-03-27,44.909507751464844,40.99770629882813,,0.008994574903552932,19.509350025470273
2019-03-28,44.96906280517578,41.170718307495115,,0.0013261123689114473,19.390644348246568
2019-03-29,45.26216506958008,41.34071868896484,,0.006517864641167437,19.410065309545047
2019-04-01,45.56954574584961,41.51250099182129,,0.006791117389038037,19.349941003787993
2019-04-02,46.23197937011719,41.692976303100586,,0.014536761633791695,19.589608319841986
2019-04-03,46.54888916015625,41.89649353027344,,0.006854774430097299,19.593949429782988
2019-04-04,46.629913330078125,42.098688735961915,,0.0017406252089733343,19.383674770687147
2019-04-05,46.94206237792969,42.312916641235354,,0.006694180313867593,19.294489045707316
2019-04-08,47.680747985839844,42.517906494140625,,0.01573611321042967,19.557356804549066
2019-04-09,47.537776947021484,42.72696533203125,,-0.0029985066270524774,19.65000516970241
2019-04-10,47.804649353027344,42.94904907226562,,0.00561390168293463,19.647053751854024
2019-04-11,47.406715393066406,43.1130158996582,,-0.00832416857662266,19.55478545505094
2019-04-12,47.387657165527344,43.27095474243164,,-0.0004020153554415984,19.529390663159404
2019-04-15,47.47343826293945,43.43022964477539,,0.0018101991645729232,19.541935851785283
2019-04-16,47.47820281982422,43.567154235839844,,0.00010036258293277811,19.498055222217577
2019-04-17,48.40275192260742,43.70866600036621,,0.019473127622201547,19.736402576017014
2019-04-18,48.57669448852539,43.85337181091309,,0.0035936503402966835,19.09895715721991
